"","LTF","SLC6A16","FCGR2B","WNT11","CSF2RB","MEFV","CA2","CD79A","SIGLEC6","PLEK","CCRL2","TREM1","PKMYT1","C5AR2","LACRT","IRF4","FCRL5","NKX6-2","MS4A1","LCN1","FCGR3B","OPRPN","TMPRSS11B","IGKC","IGHA1","IGHG1","IGHG3","IGHM","LINGO3","C14orf132"
"Gardnerella vaginalis",0.970474140254666,0.989647978805127,0.254765009981387,0.991772416339509,0.918404121397663,0.774903124080343,0.763927951520848,0.763927951520848,0.86756141456746,0.589995454997416,0.787129006549597,0.584750811508131,0.589995454997416,0.981481946624576,0.989647978805127,0.918252837049632,0.774903124080343,0.589995454997416,0.844435477736061,0.989647978805127,0.584750811508131,0.828395665918917,0.013143666339772,0.991772416339509,0.937097246281665,0.918404121397663,0.970474140254666,0.80972145292361,0.589995454997416,0.942318952991962
"Malassezia furfur",0.217263915823327,0.520007826914949,0.971466069471932,0.0444937293019781,0.465390099873497,0.937063971501841,0.918441394803229,0.0444937293019781,0.152242604190434,0.568928046622374,0.876282021949984,0.758363303137943,0.966185798631482,0.285991119121309,0.122630685360272,0.92735472323452,0.0844962818922513,0.86494652721835,0.0444937293019781,0.0866089663162409,0.958791275364204,0.354975885085763,0.876282021949984,0.0444937293019781,0.24266820559124,0.0416622803740738,0.285991119121309,0.123566155524294,0.92735472323452,0.0844962818922513
"Streptococcus pneumoniae",0.983647486772487,0.0797375293330372,0.983647486772487,0.638392456921147,0.983647486772487,0.983647486772487,0.983647486772487,1,1,1,1,1,0.983832385510081,0.996045052081398,0.983647486772487,0.996045052081398,0.983832385510081,1,1,0.807616474716012,0.996045052081398,0.996045052081398,0.983647486772487,0.983647486772487,1,0.983832385510081,0.983832385510081,1,1,0.983647486772487
"Brevundimonas vesicularis",0.190606140891955,0.0449405494638721,0.0701343013736987,0.839478033237842,0.215542501062054,0.618334926591464,0.259685062536838,0.381884170094866,0.622567737920533,0.27441324463472,0.0449405494638721,0.25391419658127,0.923848674518719,0.190606140891955,0.0587248589010477,0.27441324463472,0.0972433601583413,0.29015608884534,0.0740355539044393,0.042897208010887,0.042897208010887,0.214390090816914,0.809725848647237,0.560986589319773,0.618334926591464,0.0939337598676197,0.199183176240375,0.190606140891955,0.254396701565098,0.0478008404696231
"Moraxella osloensis",0.0291109945994318,0.852953594759702,0.760533814022441,0.80543748636226,0.997296143564678,0.676654381812537,0.676654381812537,0.878419970263516,0.817766535211395,0.921639005888715,0.80543748636226,0.973005142650859,0.973005142650859,0.635242549514118,0.0291109945994318,0.974800474627811,0.87035587848681,0.672179813900788,0.977977538785729,0.0780622582821989,0.954583066380003,0.322208423351546,0.891202766905185,0.977977538785729,0.973005142650859,0.979256817385096,0.878419970263516,0.760533814022441,0.969225165263567,0.817766535211395
"Staphylococcus warneri",0.496101227694946,0.537676779972099,0.354492129990588,0.554569073857771,0.964153918560142,0.705218431173469,0.930672056161143,0.964153918560142,0.743397466568634,0.634244641004342,0.73444379241033,0.779840560444642,0.354492129990588,0.586264783198652,0.25558727473963,0.791876388784319,0.88612540186085,0.634244641004342,0.496101227694946,0.0888627767757498,0.964153918560142,0.354492129990588,0.75121427502489,0.75121427502489,0.60925438589898,0.846188781605133,0.79144331260546,0.73444379241033,0.73444379241033,0.487742622041393
"Brevundimonas diminuta",0.0112010256937232,0.088073743539948,0.0537702753359922,0.684115480303707,0.842407989672528,0.98004761564686,0.765753620222877,0.978675983643154,0.973638561353137,0.909916146047412,0.958917857187974,0.963328038354381,0.92259170914289,0.709610761824494,0.021256561585161,0.88161009873161,0.909916146047412,0.136555146696099,0.789165497180586,0.0117642208632177,0.826863084935147,0.538343981726326,0.908383665211059,0.816348749034937,0.908383665211059,0.88161009873161,0.908383665211059,0.896999920580027,0.842407989672528,0.0993361285108538
"Actinomyces sp. oral taxon 171",0.257248932736614,0.837087105279216,0.417975410497897,0.769759899971039,0.1216085981271,0.021156127664868,0.618193076466179,0.49141907032172,0.758212241112333,0.00882326712449408,0.00740324290091541,0.0674781261072657,0.98031829055361,0.0101172800486343,0.0509261834715418,0.345673640646616,0.322269195680365,0.608943175308811,0.206172253389404,0.259681019539611,0.0533927801267187,0.124508768705917,0.678321090678127,0.887933592381156,0.230499860104572,0.257248932736614,0.53142346868774,0.553582336192605,0.570791394310082,0.83917622568166
"Schaalia odontolytica",0.222946884295654,0.263643856609552,0.0835989273471452,0.46143588279248,0.0835989273471452,0.185796172328579,0.0835989273471452,0.376955609138,0.285659768535592,0.0589223469063114,0.219011510232093,0.131844084334114,0.74285685347175,0.014601594757866,0.280525142766397,0.014601594757866,0.185796172328579,0.924504870423666,0.059854917029813,0.33619651790662,0.217860478503283,0.272882204107139,0.486773837914627,0.158535819162452,0.263643856609552,0.174836672135126,0.131844084334114,0.39997271435209,0.0589223469063114,0.712848881899026
"Neisseria elongata",0.985477683816172,0.955459943593836,0.61614483812058,0.953623377173005,0.67653526667984,0.45107325044724,0.953623377173005,0.490108919945812,0.955459943593836,0.600372938162657,0.871878221343275,0.490108919945812,0.0911544989481912,0.970874995956557,0.871878221343275,1,0.490108919945812,0.0911544989481912,0.55139311908682,0.786756193858226,0.821571671503997,0.955459943593836,0.67653526667984,0.45107325044724,0.383545342569246,0.5866100132217,0.45107325044724,0.589112808766086,0.383545342569246,0.45107325044724
